Black,0xff1c1c1c,0x04
Blue,0xff0000ff,0x03
Brick,0xff94321c,0x18
Brown,0xff756046,0x06
Cantaloupe,0xffff9a00,0x19
Cyan,0xff00ffff,0x07
Forest,0xff006b00,0x08
Green,0xff00ff00,0x02
Magenta,0xffe71cd9,0x17
Mud,0xff463b2b,0x1a
Navy,0xff32326b,0x1b
Olive,0xffbaba59,0x1c
Orange,0xffff8800,0x0b
Parchment,0xffffffba,0x0c
Pink,0xffff7be1,0x0d
Purple,0xff7b00e0,0x0e
Red,0xffff0000,0x01
Royalty,0xff7b00a8,0x10
Silver,0xffe0e0e0,0x11
Sky,0xffbad4ff,0x12
Slate,0xff595959,0x1d
Tan,0xffffedb2,0x13
Tangerine,0xffad652b,0x14
White,0xfffefefe,0x15
Yellow,0xffffff00,0x16
